cohort,variable,Events/n,M1,M1_p,M2,M2_p,M3,M3_p
CHARLS,__header__,,,,,,,
CHARLS,eCRF per 1-SD,1118/2458,0.73 (0.69-0.77),<0.001,0.84 (0.75-0.94),0.003,0.82 (0.73-0.92),<0.001
CHARLS,Low eCRF level,271/492,Reference,-,Reference,-,Reference,-
CHARLS,Moderate eCRF level,424/982,0.64 (0.55-0.75),<0.001,0.76 (0.64-0.90),0.002,0.74 (0.62-0.88),<0.001
CHARLS,High eCRF level,423/984,0.61 (0.52-0.71),<0.001,0.76 (0.63-0.92),0.004,0.74 (0.61-0.90),0.002
CHARLS,P for trend,,,<0.001,,0.018,,0.012
CHARLS,,,,,,,,
ELSA,__header__,,,,,,,
ELSA,eCRF per 1-SD,1798/3093,0.65 (0.62-0.69),<0.001,0.70 (0.65-0.75),<0.001,0.70 (0.65-0.76),<0.001
ELSA,Low eCRF level,426/619,Reference,-,Reference,-,Reference,-
ELSA,Moderate eCRF level,764/1237,0.62 (0.55-0.70),<0.001,0.80 (0.70-0.91),<0.001,0.82 (0.71-0.94),0.005
ELSA,High eCRF level,608/1237,0.37 (0.33-0.42),<0.001,0.56 (0.47-0.65),<0.001,0.58 (0.49-0.69),<0.001
ELSA,P for trend,,,<0.001,,<0.001,,<0.001
ELSA,,,,,,,,
HRS,__header__,,,,,,,
HRS,eCRF per 1-SD,1659/2334,0.67 (0.64-0.71),<0.001,0.69 (0.64-0.74),<0.001,0.72 (0.67-0.77),<0.001
HRS,Low eCRF level,382/467,Reference,-,Reference,-,Reference,-
HRS,Moderate eCRF level,718/933,0.68 (0.60-0.77),<0.001,0.77 (0.67-0.87),<0.001,0.79 (0.69-0.90),<0.001
HRS,High eCRF level,559/934,0.37 (0.33-0.43),<0.001,0.46 (0.40-0.54),<0.001,0.50 (0.43-0.59),<0.001
HRS,P for trend,,,<0.001,,<0.001,,<0.001
HRS,,,,,,,,
