subgroup,stratum,events,n,HR,lo,hi,p,p_interaction,P-interaction display
"Age, years",<60,747,1191,0.7905692270687191,0.6803965319752416,0.918581552691945,0.002146985773729737,0.9121065418297989,0.912
"Age, years",60-70,268,382,0.9400723921284423,0.7417950303919448,1.1913481032289324,0.6091229653158436,0.9121065418297989,
"Age, years",>=70,103,125,0.7262568793275144,0.4748432134354244,1.1107857074644059,0.14011560506868626,0.9121065418297989,
Sex,Male,529,914,0.8562894604926986,0.7413848490220571,0.9890027306574514,0.034822054817186476,0.6017200401321534,0.602
Sex,Female,589,784,0.7716799917014198,0.6282973519240863,0.9477837329230906,0.013460136580169646,0.6017200401321534,
Education,Below HS,983,1414,0.7980261670072266,0.701702218425034,0.9075726804136975,0.0005866083503447417,0.5593121028846129,0.559
Education,High school,124,254,0.9154493065672099,0.6706720004928425,1.2495637692919153,0.577868099765833,0.5593121028846129,
Education,College+,11,30,1.2267754169493454,0.3622635675300209,4.15437283382498,0.7425910077414102,0.5593121028846129,
Smoking status,Never,697,1003,0.8234003274759764,0.6998286830578034,0.968791528128243,0.019172000472908124,0.42781855072881836,0.428
Smoking status,Former,87,133,0.8763541760372153,0.5972670650158491,1.2858513165086156,0.49985558165590627,0.42781855072881836,
Smoking status,Current,334,562,0.8003250041453648,0.6606037450600311,0.9695980639680937,0.022882395940984068,0.42781855072881836,
Drinking,No,704,1015,0.7948626936096219,0.6749268779698773,0.9361113363758227,0.005939042022245156,0.06655667084505668,0.067
Drinking,Yes,414,683,0.8616758933067391,0.726443480651075,1.0220827426801524,0.0874084819443619,0.06655667084505668,
Physical activity,No MVPA,355,532,0.6929472165308674,0.5519637660149982,0.8699408810194061,0.0015748102718304846,0.2445665741035159,0.245
Physical activity,MVPA >=2/wk,763,1166,0.8520059179335208,0.7280728749505326,0.9970349248941077,0.045822374525063436,0.2445665741035159,
"BMI, kg/m2",<25,774,1207,0.8893290303414216,0.7403373748164283,1.068305006760092,0.2099422747285784,0.837457768756219,0.837
"BMI, kg/m2",25-<30,305,439,1.056999603880223,0.744682522571884,1.5003013079242777,0.7563883748602442,0.837457768756219,
"BMI, kg/m2",>=30,39,52,0.2727912088165661,0.09637676031705127,0.7721264271884601,0.014398377728145784,0.837457768756219,
