term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),cohort,model,n
group_mid,-0.43888424207913784,0.6447554108559654,0.07793790619023823,-0.5916397312424662,-0.2861287529158096,0.5534190817750518,0.7511658949212346,0.0,-5.631203910044332,1.7895599380552244e-08,25.735819894089,CHARLS,M1,1698
group_high,-0.5001956866206524,0.6064119813897709,0.07801892782958106,-0.653109975279061,-0.3472813979622438,0.5204247492849804,0.7066064626601739,0.0,-6.411209440268699,1.443696983069162e-10,32.68951298150864,CHARLS,M1,1698
group_mid,-0.27385301224629105,0.7604438429787392,0.08710031215704692,-0.4445664871162992,-0.10313953737628287,0.6411021418370185,0.9020011018326669,0.0,-3.1441105716420186,0.00166592479655043,9.229461008864137,CHARLS,M2,1698
group_high,-0.272523613455158,0.7614554483688267,0.09560511706806184,-0.45990619964629487,-0.0851410272640212,0.6313428629134262,0.9183827582605917,0.0,-2.8505128366836985,0.004364878845382321,7.839842674700125,CHARLS,M2,1698
age,0.01833309480069823,1.0185021776734484,0.0042979404727680045,0.00990928626637589,0.026756903335020572,1.0099585458180806,1.0271180834311284,0.0,4.265553447484385,1.9940726833851015e-05,15.613922477916269,CHARLS,M2,1698
female,0.5055862346882294,1.6579571876355126,0.0604110489241438,0.3871827545286204,0.6239897148478384,1.4728256322331805,1.866359449396831,0.0,8.36910207142865,5.805894317517812e-17,53.935259301709735,CHARLS,M2,1698
group_mid,-0.29976448294914765,0.7409927165518403,0.08763359076538092,-0.47152316468521616,-0.12800580121307917,0.6240510115437203,0.8798482749425183,0.0,-3.4206573110954577,0.000624699948357178,10.644548968911025,CHARLS,M3,1698
group_high,-0.2962287075496892,0.7436173376712424,0.09737809861627122,-0.48708627372057045,-0.10537114137880796,0.6144140228742516,0.899990436901924,0.0,-3.042046535710355,0.002349755643730979,8.733273549108901,CHARLS,M3,1698
age,0.014200989000796775,1.0143023020588904,0.004464009167380146,0.0054516918060750555,0.022950286195518494,1.0054665793195992,1.0232156703389994,0.0,3.1812186015583617,0.0014665692103705923,9.413339128260471,CHARLS,M3,1698
female,0.5088234023988041,1.6633329695681722,0.0860267067049638,0.34021415554848466,0.6774326492491235,1.405248500105017,1.9688165953891534,0.0,5.914714417045615,3.324518977499162e-09,28.164207240884927,CHARLS,M3,1698
marital,0.011297450623035622,1.0113615078187184,0.10539674835531425,-0.1952763802410115,0.2178712814870827,0.822607274238557,1.2434270052427514,0.0,0.10718974540798525,0.9146384505376176,0.12872652492910247,CHARLS,M3,1698
educ_hs,-0.4318089663664718,0.649333409358125,0.09786451400896738,-0.6236198891885635,-0.23999804354438017,0.5360006585958101,0.7866294000705584,0.0,-4.4123140112554475,1.0227163904629104e-05,16.577234347730737,CHARLS,M3,1698
educ_college,-0.8530874480274618,0.42609734559650536,0.3051012591478105,-1.4510749275949921,-0.25509996845993155,0.2343182774890029,0.7748390346242141,0.0,-2.7960797356597333,0.00517266369096301,7.594876889206303,CHARLS,M3,1698
smk_former,0.233639424295729,1.2631889348414467,0.12978391386028407,-0.020732372643076508,0.48801122123453455,0.9794810654239118,1.629073130081678,0.0,1.8002186661379949,0.07182611756780229,3.799347654443199,CHARLS,M3,1698
