cohort,term,spearman_rho,p
CHARLS,group_mid,0.016106456442679724,0.5905935484011086
CHARLS,group_high,0.005151692019137527,0.8633879719332024
CHARLS,age,0.05663799851745141,0.05833417907396434
CHARLS,female,-0.020799325200354227,0.4872094997480295
CHARLS,marital,0.05926904148791085,0.047560472665843366
CHARLS,educ_hs,0.030843561965359687,0.3028258097998438
CHARLS,educ_college,-0.012758597928151557,0.6700035931618394
CHARLS,smk_former,-0.024122057300885878,0.42037413495422354
CHARLS,smk_current,-0.04332000297352133,0.14774887613838233
CHARLS,drink,0.004826268032530575,0.8719406349062048
CHARLS,sbp,-0.04298627507634205,0.15089794015778824
ELSA,group_mid,-0.04103986373541023,0.09531523642387918
ELSA,group_high,-0.009372470026541051,0.7033682946154793
ELSA,age,-0.016276525712910297,0.5084202063179702
ELSA,female,0.019731614217767653,0.42272567508673176
ELSA,marital,-0.006395139650134569,0.7950073904652311
ELSA,educ_hs,0.019194882558804978,0.4354557378641293
ELSA,educ_college,0.025567544146368245,0.2988578778704197
ELSA,smk_former,0.003963794651966907,0.8720657321367828
ELSA,smk_current,-0.003984122015211752,0.8714153419639865
ELSA,drink,-0.03435357200159625,0.16269275387914642
ELSA,sbp,0.016786311859125724,0.49522973007806886
HRS,group_mid,-0.2637172232803772,8.532410281480972e-28
HRS,group_high,-0.06797720319518513,0.005607610344443233
HRS,age,-0.2953463410225729,9.523169627872533e-35
HRS,female,-0.07614633293432567,0.0019113509173370282
HRS,marital,-0.1801785435117907,1.4260547006944867e-13
HRS,educ_hs,-0.07410974822506487,0.002524160131486315
HRS,educ_college,-0.013876192910526436,0.572216637273946
HRS,smk_former,-0.051592907251032334,0.03562015364264641
HRS,smk_current,-0.10430266068841226,2.0742371878105244e-05
HRS,drink,-0.029852328817648016,0.22426529902282652
HRS,sbp,-0.03627467993102425,0.13971048536007866
