subgroup,stratum,n,events,term,HR,lo,hi,p
Age,<60,3995,2035,中,0.7348938751554926,0.6229999819882033,0.8668844676648534,0.00025714733403847667
Age,<60,3995,2035,高,0.5732756009186784,0.4863753379579761,0.675702259058759,3.2690516960087734e-11
Age,60-70,2427,1474,中,0.7627432230281759,0.6642074797921095,0.8758968273851724,0.0001242750573682283
Age,60-70,2427,1474,高,0.541393987191906,0.46124493659759336,0.6354702807789675,6.084022174945858e-14
Age,>=70,1463,1066,中,0.8739186623799322,0.7599630824575678,1.0049617489130764,0.05868214881573253
Age,>=70,1463,1066,高,0.8595925428084749,0.6381031024809917,1.1579623054315906,0.31961730985594783
Age_interaction,ordinal-var,6360,4283,interaction,1.0159192811682571,,,0.5689677976977336
Sex,Male,4221,2286,中,0.7764964296701479,0.6935038187360449,0.8694208870967659,1.1528940617955286e-05
Sex,Male,4221,2286,高,0.6376733623026767,0.5592365725162032,0.727111453317226,1.8328005779721934e-11
Sex,Female,3664,2289,中,0.8183776672630668,0.7262080961012548,0.9222453038881532,0.0010098841369408085
Sex,Female,3664,2289,高,0.5542619719220853,0.48088720025153064,0.6388324192415031,4.440892098500626e-16
Sex_interaction,ordinal-var,6360,4283,interaction,0.9915985200999179,,,0.8065039178076583
Education,Below HS,3297,1742,中,0.80862544514261,0.7089170820443865,0.9223576735468534,0.0015574518483847388
Education,Below HS,3297,1742,高,0.777622542253493,0.6672761374596513,0.9062167583616764,0.0012764392235939948
Education,HS,3029,1893,中,0.7543547081473435,0.6652194691438007,0.855433510442028,1.1135323506383799e-05
Education,HS,3029,1893,高,0.49459971384390705,0.4268782245740659,0.5730647825350252,0.0
Education,College+,1323,780,中,0.7896221618350963,0.6374391577165459,0.9781375224808325,0.03058993628385598
Education,College+,1323,780,高,0.5124780980082672,0.4009886510816773,0.654965671047571,9.248786758675465e-08
Education_interaction,ordinal-var,6360,4283,interaction,0.8738351604551099,,,1.877671995664798e-08
Smoking,Never,3712,2117,中,0.9134877587316067,0.806025786806302,1.035276909264722,0.15646508667941061
Smoking,Never,3712,2117,高,0.6804048287826453,0.5881735204334602,0.7870989001503583,2.2040186187233246e-07
Smoking,Former,2635,1655,中,0.7454828862830962,0.6546200085775582,0.848957756345653,9.457639346122093e-06
Smoking,Former,2635,1655,高,0.514278758138728,0.43838062898960317,0.6033173538764756,2.220446049250313e-16
Smoking,Current,1538,803,中,0.6731255526195946,0.5533256265151211,0.8188632296737706,7.54115469658867e-05
Smoking,Current,1538,803,高,0.5581841628003272,0.4487656508038697,0.6942812112357319,1.6256576063078398e-07
Smoking_interaction,ordinal-var,6360,4283,interaction,0.9710391357566194,,,0.23324999173807415
Drinking,No,2483,1465,中,0.7909952949781462,0.6887658663372901,0.9083980308210728,0.0008980537266327637
Drinking,No,2483,1465,高,0.6184832088438061,0.5249364256396366,0.7287005834194638,9.32151889010413e-09
Drinking,Yes,5150,2965,中,0.7969991373229437,0.7201032211414102,0.8821063512070827,1.1688478925631074e-05
Drinking,Yes,5150,2965,高,0.587268272898904,0.5216013814687015,0.6612022832120437,0.0
Drinking_interaction,ordinal-var,6360,4283,interaction,0.9121400391285784,,,0.01658299182556977
PA,No MVPA,2017,1232,中,0.7340207579329026,0.6362164274027706,0.8468603605158127,2.2524224115860747e-05
PA,No MVPA,2017,1232,高,0.6320011334850302,0.5215030046808944,0.765912044880297,2.869533473948138e-06
PA,MVPA>=2/wk,5868,3343,中,0.8573759330612752,0.7722815806552734,0.9518464624897212,0.003909227432398854
PA,MVPA>=2/wk,5868,3343,高,0.6267726823101338,0.5559048619362845,0.706674868649136,2.3314683517128287e-14
PA_interaction,ordinal-var,6360,4283,interaction,0.9676257355268307,,,0.44072914362413407
BMI,Normal<25,3482,1767,中,0.9159010506455167,0.7718630268707061,1.0868181340082255,0.31426890875625646
BMI,Normal<25,3482,1767,高,0.781510572822781,0.6376200080776276,0.9578726634930721,0.017569409453180862
BMI,Overweight25-<30,3059,1847,中,0.982051164184726,0.8509252465477032,1.1333833294867575,0.8043712961069196
BMI,Overweight25-<30,3059,1847,高,0.889332032866936,0.7321910015667576,1.080198285680687,0.23707818989870622
BMI,Obese>=30,1344,961,中,0.7892355108682219,0.67367229693079,0.9246226903693151,0.003387352598057003
BMI,Obese>=30,1344,961,高,0.5733431498891759,0.40764391852341664,0.8063958582175169,0.0013911206521930453
BMI_interaction,ordinal-var,6360,4283,interaction,0.9839046013537914,,,0.5434368989596332
