analysis,cohort,term,n,events,HR,lo,hi,p
SEN-1,CHARLS,mid,1698,1118,0.7409927165518403,0.624049041939443,0.8798510518924201,0.0006246999483572324
SEN-1,CHARLS,high,1698,1118,0.7436173376712424,0.6144118680561592,0.8999935932792293,0.0023497556437310774
SEN-1,ELSA,mid,2610,1653,0.8175785088474175,0.7110976326520878,0.9400039986579528,0.004668363010486232
SEN-1,ELSA,high,2610,1653,0.5847319487462168,0.49418184659012265,0.6918737591106453,4.0769587705824506e-10
SEN-1,HRS,mid,2252,1659,0.7886891738053788,0.6901843914279002,0.9012527965040066,0.00048768087569750485
SEN-1,HRS,high,2252,1659,0.5029029780006522,0.42785179478058405,0.5911191874551456,0.0
SEN-2,CHARLS,mid,1451,920,0.7590444807321161,0.6260387268946477,0.9203081198950241,0.005032958687824829
SEN-2,CHARLS,high,1451,920,0.7408756575371803,0.5973860211243812,0.9188309075227993,0.00631891405702012
SEN-2,ELSA,mid,2159,1340,0.7943590295404027,0.6794783679196525,0.9286627766301254,0.003869445465066512
SEN-2,ELSA,high,2159,1340,0.5701390449694198,0.4741367122684826,0.6855797540827756,2.3334858489931776e-09
SEN-2,HRS,mid,1669,1185,0.7874542885487419,0.6689373302695011,0.9269691322264615,0.004088668498619441
SEN-2,HRS,high,1669,1185,0.5024185484022442,0.4145610744661301,0.6088955604519533,2.2375434838295405e-12
SEN-3,CHARLS,mid,1698,1118,0.7409927165518403,0.624049041939443,0.8798510518924201,0.0006246999483572324
SEN-3,CHARLS,high,1698,1118,0.7436173376712424,0.6144118680561592,0.8999935932792293,0.0023497556437310774
SEN-3,ELSA,mid,2610,1653,0.8175785088474175,0.7110976326520878,0.9400039986579528,0.004668363010486232
SEN-3,ELSA,high,2610,1653,0.5847319487462168,0.49418184659012265,0.6918737591106453,4.0769587705824506e-10
SEN-3,HRS,mid,2252,1659,0.7886891738053788,0.6901843914279002,0.9012527965040066,0.00048768087569750485
SEN-3,HRS,high,2252,1659,0.5029029780006522,0.42785179478058405,0.5911191874551456,0.0
