analysis,cohort,term,HR,lo,hi,p
主分析M3,CHARLS,mid,0.7409927165518403,0.6240510115437203,0.8798482749425183,0.0006246999483571
主分析M3,CHARLS,high,0.7436173376712424,0.6144140228742516,0.899990436901924,0.0023497556437309
主分析M3,ELSA,mid,0.8175785088474175,0.711099455929175,0.9400015884637972,0.0046683630104862
主分析M3,ELSA,high,0.5847319487462168,0.4941833744212772,0.6918716200943632,4.0769592125955513e-10
主分析M3,HRS,mid,0.7886891738053788,0.6901860834199987,0.9012505870815816,0.0004876808756975
主分析M3,HRS,high,0.5029029780006522,0.4278530654222217,0.5911174319444032,7.703090350907308e-17
SEN-1,CHARLS,mid,0.7409927165518403,0.624049041939443,0.8798510518924201,0.0006246999483572
SEN-1,CHARLS,high,0.7436173376712424,0.6144118680561592,0.8999935932792293,0.002349755643731
SEN-1,ELSA,mid,0.8175785088474175,0.7110976326520878,0.9400039986579528,0.0046683630104862
SEN-1,ELSA,high,0.5847319487462168,0.4941818465901226,0.6918737591106453,4.07695877058245e-10
SEN-1,HRS,mid,0.7886891738053788,0.6901843914279002,0.9012527965040066,0.0004876808756975
SEN-1,HRS,high,0.5029029780006522,0.427851794780584,0.5911191874551456,0.0
SEN-2,CHARLS,mid,0.7590444807321161,0.6260387268946477,0.920308119895024,0.0050329586878248
SEN-2,CHARLS,high,0.7408756575371803,0.5973860211243812,0.9188309075227992,0.0063189140570201
SEN-2,ELSA,mid,0.7943590295404027,0.6794783679196525,0.9286627766301254,0.0038694454650665
SEN-2,ELSA,high,0.5701390449694198,0.4741367122684826,0.6855797540827756,2.3334858489931776e-09
SEN-2,HRS,mid,0.7874542885487419,0.6689373302695011,0.9269691322264616,0.0040886684986194
SEN-2,HRS,high,0.5024185484022442,0.4145610744661301,0.6088955604519533,2.2375434838295405e-12
SEN-3,CHARLS,mid,0.7409927165518403,0.624049041939443,0.8798510518924201,0.0006246999483572
SEN-3,CHARLS,high,0.7436173376712424,0.6144118680561592,0.8999935932792293,0.002349755643731
SEN-3,ELSA,mid,0.8175785088474175,0.7110976326520878,0.9400039986579528,0.0046683630104862
SEN-3,ELSA,high,0.5847319487462168,0.4941818465901226,0.6918737591106453,4.07695877058245e-10
SEN-3,HRS,mid,0.7886891738053788,0.6901843914279002,0.9012527965040066,0.0004876808756975
SEN-3,HRS,high,0.5029029780006522,0.427851794780584,0.5911191874551456,0.0
SEN-4 MICE,CHARLS,mid,0.8577506971273258,0.7636074799202067,0.9635005912976312,0.009685839191762
SEN-4 MICE,CHARLS,high,0.7911395407162907,0.693972092818149,0.9019120211924674,0.0004580985561526
SEN-4 MICE,ELSA,mid,0.8104744856627228,0.7113002624605473,0.9234762400311765,0.0016025222541944
SEN-4 MICE,ELSA,high,0.5664604548379393,0.4856139402675676,0.6607665478433451,4.696243394164412e-13
SEN-4 MICE,HRS,mid,0.755244359690017,0.6757706262335638,0.8440645696938607,7.483168749100599e-07
SEN-4 MICE,HRS,high,0.5080447926343153,0.4427402642320411,0.5829817890418224,0.0
