cohort,var,Low(Q1),Middle(Q2-3),High(Q4-5)
CHARLS,N,492,982,984
CHARLS,"Age, years (mean±SD)",65.06 ± 9.09,56.89 ± 7.23,52.68 ± 5.68
CHARLS,Male,Male 267 (54.3%),Male 533 (54.3%),Male 534 (54.3%)
CHARLS,BMI kg/m2 (mean±SD),25.77 ± 3.96,23.80 ± 2.87,21.39 ± 2.31
CHARLS,Waist cm (mean±SD),92.43 ± 9.52,86.21 ± 7.76,78.83 ± 6.63
CHARLS,Resting HR bpm (mean±SD),76.76 ± 10.23,73.84 ± 9.78,68.18 ± 8.83
CHARLS,SBP mmHg (mean±SD),138.35 ± 21.97,130.14 ± 20.26,123.33 ± 18.15
CHARLS,MVPA ≥2/wk n(%),201 (40.9%),633 (64.5%),858 (87.2%)
CHARLS,Married/partnered n(%),396 (80.5%),865 (88.1%),868 (88.2%)
CHARLS,Drinker n(%),203 (41.3%),423 (43.1%),407 (41.4%)
CHARLS,Hypertension n(%),174 (35.4%),206 (21.0%),106 (10.8%)
CHARLS,Diabetes n(%),37 (7.6%),36 (3.7%),13 (1.3%)
CHARLS,Cancer n(%),1 (0.2%),10 (1.0%),5 (0.5%)
CHARLS,Lung disease n(%),27 (5.5%),69 (7.0%),66 (6.7%)
CHARLS,Heart disease n(%),71 (14.4%),66 (6.7%),44 (4.5%)
CHARLS,Stroke n(%),12 (2.4%),13 (1.3%),4 (0.4%)
ELSA,N,619,1237,1237
ELSA,"Age, years (mean±SD)",72.47 ± 8.88,63.93 ± 6.95,58.58 ± 4.73
ELSA,Male,Male 332 (53.6%),Male 663 (53.6%),Male 663 (53.6%)
ELSA,BMI kg/m2 (mean±SD),29.76 ± 4.90,27.79 ± 3.30,24.51 ± 2.69
ELSA,Waist cm (mean±SD),101.43 ± 13.01,95.87 ± 10.58,87.05 ± 9.81
ELSA,Resting HR bpm (mean±SD),71.79 ± 11.94,67.69 ± 10.42,63.40 ± 9.03
ELSA,SBP mmHg (mean±SD),140.46 ± 18.46,136.14 ± 17.33,128.71 ± 17.10
ELSA,MVPA ≥2/wk n(%),361 (58.3%),959 (77.5%),1102 (89.1%)
ELSA,Married/partnered n(%),377 (60.9%),936 (75.7%),957 (77.4%)
ELSA,Drinker n(%),478 (89.5%),1081 (94.2%),1108 (95.5%)
ELSA,Hypertension n(%),248 (40.1%),443 (35.8%),281 (22.7%)
ELSA,Diabetes n(%),55 (8.9%),59 (4.8%),35 (2.8%)
ELSA,Cancer n(%),45 (7.3%),69 (5.6%),53 (4.3%)
ELSA,Lung disease n(%),17 (2.7%),34 (2.7%),24 (1.9%)
ELSA,Heart disease n(%),89 (14.4%),125 (10.1%),107 (8.6%)
ELSA,Stroke n(%),20 (3.2%),19 (1.5%),13 (1.1%)
HRS,N,467,933,934
HRS,"Age, years (mean±SD)",73.96 ± 9.78,66.00 ± 8.26,58.84 ± 6.63
HRS,Male,Male 246 (52.7%),Male 491 (52.6%),Male 492 (52.7%)
HRS,BMI kg/m2 (mean±SD),31.20 ± 5.44,28.49 ± 3.98,25.06 ± 3.08
HRS,Waist cm (mean±SD),107.03 ± 13.29,98.66 ± 10.71,89.15 ± 10.06
HRS,Resting HR bpm (mean±SD),73.44 ± 12.49,71.21 ± 11.14,67.10 ± 9.51
HRS,SBP mmHg (mean±SD),137.38 ± 20.95,133.09 ± 19.38,125.08 ± 18.78
HRS,MVPA ≥2/wk n(%),281 (60.2%),673 (72.1%),800 (85.7%)
HRS,Married/partnered n(%),283 (60.6%),694 (74.4%),690 (73.9%)
HRS,Drinker n(%),230 (49.3%),575 (61.6%),645 (69.1%)
HRS,Hypertension n(%),247 (52.9%),465 (49.8%),256 (27.4%)
HRS,Diabetes n(%),100 (21.4%),100 (10.7%),49 (5.2%)
HRS,Cancer n(%),70 (15.0%),109 (11.7%),86 (9.2%)
HRS,Lung disease n(%),13 (2.8%),28 (3.0%),22 (2.4%)
HRS,Heart disease n(%),86 (18.4%),144 (15.4%),89 (9.5%)
HRS,Stroke n(%),32 (6.9%),28 (3.0%),22 (2.4%)
