term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),cohort,model,n
group_mid,-0.43888424207913784,0.6447554108559654,0.07793790619023823,-0.5916397312424662,-0.2861287529158096,0.5534190817750518,0.7511658949212346,0.0,-5.631203910044332,1.7895599380552244e-08,25.735819894089,CHARLS,M1,1698
group_high,-0.5001956866206524,0.6064119813897709,0.07801892782958106,-0.653109975279061,-0.3472813979622438,0.5204247492849804,0.7066064626601739,0.0,-6.411209440268699,1.443696983069162e-10,32.68951298150864,CHARLS,M1,1698
group_mid,-0.27385301224629105,0.7604438429787392,0.08710031215704692,-0.4445664871162992,-0.10313953737628287,0.6411021418370185,0.9020011018326669,0.0,-3.1441105716420186,0.00166592479655043,9.229461008864137,CHARLS,M2,1698
group_high,-0.272523613455158,0.7614554483688267,0.09560511706806184,-0.45990619964629487,-0.0851410272640212,0.6313428629134262,0.9183827582605917,0.0,-2.8505128366836985,0.004364878845382321,7.839842674700125,CHARLS,M2,1698
age,0.01833309480069823,1.0185021776734484,0.0042979404727680045,0.00990928626637589,0.026756903335020572,1.0099585458180806,1.0271180834311284,0.0,4.265553447484385,1.9940726833851015e-05,15.613922477916269,CHARLS,M2,1698
female,0.5055862346882294,1.6579571876355126,0.0604110489241438,0.3871827545286204,0.6239897148478384,1.4728256322331805,1.866359449396831,0.0,8.36910207142865,5.805894317517812e-17,53.935259301709735,CHARLS,M2,1698
group_mid,-0.3031299453868763,0.7385031250608077,0.0875935668639993,-0.47481018171771605,-0.13144970905603662,0.6220031128224894,0.8768233703039754,0.0,-3.460641645721837,0.0005388896471231155,10.857722508887129,CHARLS,M3,1698
group_high,-0.29989784244670087,0.7408939047243646,0.09726592302039533,-0.49053554848972103,-0.10926013640368068,0.6122983908829234,0.8964971756110245,0.0,-3.0832776077580264,0.0020473407048104,8.932033078617684,CHARLS,M3,1698
age,0.014889190726054788,1.0150005869059584,0.004441051918822359,0.006184888911690464,0.023593492540419113,1.0062040548297666,1.0238740208552803,0.0,3.3526270348136302,0.0008004849655283517,10.286838072824628,CHARLS,M3,1698
female,0.5056888611413464,1.6581273466323572,0.085919239877751,0.3372902454018968,0.674087476880796,1.4011456808175569,1.9622415679473222,0.0,5.885630062147416,3.965403988551197e-09,27.909885001275317,CHARLS,M3,1698
marital,0.07522347710446846,1.0781250602314827,0.05916258168666637,-0.04073305223380659,0.19118000644274352,0.9600853883922538,1.2106773621933777,0.0,1.2714704963833885,0.2035613170395412,2.296464664207953,CHARLS,M3,1698
educ_hs,-0.43059383332420337,0.6501229154195908,0.0978701889591654,-0.6224158788442972,-0.23877178780410954,0.5366463975935021,0.7875946005582319,0.0,-4.3996424028961565,1.0842940567339534e-05,16.492884410861997,CHARLS,M3,1698
educ_college,-0.8602880526446256,0.42304020691494065,0.30508865527062345,-1.4582508290668037,-0.2623252762224475,0.23264285115331762,0.7692607607731501,0.0,-2.819796927163753,0.004805404955022012,7.701126271564259,CHARLS,M3,1698
smk_former,0.23373930293472414,1.263315106733886,0.12974916843516618,-0.020564394222222754,0.488043000091671,0.9796456109261976,1.6291249009865496,0.0,1.8014705277399936,0.0716287485493385,3.8033174533288494,CHARLS,M3,1698
