cohort,term,spearman_rho,p
CHARLS,group_mid,0.016456783573712476,0.5825395356921642
CHARLS,group_high,0.0035842881089776036,0.9047109820501292
CHARLS,age,0.054422898169941135,0.06890773920799455
CHARLS,female,-0.026775882354849328,0.371080727035454
CHARLS,marital,0.05965619951082024,0.04612584762669443
CHARLS,educ_hs,0.03205976284078636,0.28415025246650216
CHARLS,educ_college,-0.013421253426739763,0.6539525605515827
CHARLS,smk_former,-0.025810353096296295,0.3885850163732258
CHARLS,smk_current,-0.04777216995938369,0.11038631375385964
CHARLS,drink,0.002814497565611365,0.9251076620894547
CHARLS,sbp,-0.043615208282461244,0.14500533778246602
ELSA,group_mid,-0.04154911054627881,0.09127352094816506
ELSA,group_high,-0.00994465434987952,0.6861943581672918
ELSA,age,-0.013006968567367275,0.5971884488226699
ELSA,female,0.018320630588868344,0.45665703813010405
ELSA,marital,0.002772429439032218,0.9103208100833734
ELSA,educ_hs,0.020113006669541782,0.4138137713991933
ELSA,educ_college,0.026106093073199107,0.28879172078942594
ELSA,smk_former,0.004475379468279935,0.8557245927127314
ELSA,smk_current,-0.0034164782047193727,0.8896086409980811
ELSA,drink,-0.03197086017349746,0.1938782642652106
ELSA,sbp,0.017692634356016812,0.4722374341368448
HRS,group_mid,-0.2674440009473835,1.4413438432122608e-28
HRS,group_high,-0.06843342333676601,0.005294977448583385
HRS,age,-0.29040899378930707,1.3312334953640621e-33
HRS,female,-0.0673186323263225,0.006088279722822782
HRS,marital,-0.18170462462896073,8.813734732321605e-14
HRS,educ_hs,-0.07809699709904432,0.001455461311298634
HRS,educ_college,-0.01829788021522617,0.45639968484591703
HRS,smk_former,-0.050630793208582915,0.039207537920166714
HRS,smk_current,-0.10048649338198733,4.128033088268634e-05
HRS,drink,-0.030233387865008093,0.21840367271146766
HRS,sbp,-0.03425948534539936,0.16308378419285544
