subgroup,stratum,n,events,term,HR,lo,hi,p
Age,<60,3995,2035,中,0.7329874827213996,0.6213408663531705,0.8646954979472877,0.00022932052628332755
Age,<60,3995,2035,高,0.5706755963771798,0.48412972606659826,0.6726929142451578,2.3128388093596186e-11
Age,60-70,2427,1474,中,0.7626224804006886,0.6640711761629194,0.8757992644297724,0.00012379975498255646
Age,60-70,2427,1474,高,0.5411747320571376,0.4610143814698185,0.6352732200747803,6.061817714453355e-14
Age,>=70,1463,1066,中,0.8736418276614634,0.7598277252844827,1.0045040706482486,0.05784183516631214
Age,>=70,1463,1066,高,0.8574343129467021,0.6364945611306806,1.1550665880198123,0.31165896465835585
Age_interaction,ordinal-var,6360,4283,interaction,1.0143801990446786,,,0.6061713302550364
Sex,Male,4221,2286,中,0.7764496882952163,0.6934928976670652,0.8693299102007078,1.1383096353290156e-05
Sex,Male,4221,2286,高,0.6369671584740193,0.558568612116983,0.7263694238685461,1.6868506591549703e-11
Sex,Female,3664,2289,中,0.8153282629752268,0.7236516537981309,0.9186190246607815,0.0007942344561682191
Sex,Female,3664,2289,高,0.5533793420334809,0.48019265035319,0.6377204981462582,2.220446049250313e-16
Sex_interaction,ordinal-var,6360,4283,interaction,0.9899278298029224,,,0.768692091989363
Education,Below HS,3297,1742,中,0.8056969045504855,0.7064104443716686,0.9189381430786062,0.001282335152612557
Education,Below HS,3297,1742,高,0.7769052863727107,0.6667223631068769,0.9052971032518199,0.0012164279668211986
Education,HS,3029,1893,中,0.7536063222415615,0.6646244536474539,0.8545013440382732,1.0205878173019656e-05
Education,HS,3029,1893,高,0.494955866750683,0.42719890576826086,0.573459591593179,0.0
Education,College+,1323,780,中,0.7859338024741862,0.634895737235079,0.9729029597230135,0.026946188627035905
Education,College+,1323,780,高,0.5118210972871352,0.40062271396562893,0.6538841321180849,8.35797495657431e-08
Education_interaction,ordinal-var,6360,4283,interaction,0.873812474740335,,,1.8675571311632666e-08
Smoking,Never,3712,2117,中,0.9063363259492908,0.7999748882431895,1.0268391518379043,0.12255312559906462
Smoking,Never,3712,2117,高,0.6799318612965369,0.5878164137630013,0.7864825227431782,2.061029495958877e-07
Smoking,Former,2635,1655,中,0.7458774417626342,0.6549109371314166,0.8494791071396265,9.945530781152456e-06
Smoking,Former,2635,1655,高,0.5136122977576197,0.4377125854884493,0.6026730808150893,2.220446049250313e-16
Smoking,Current,1538,803,中,0.6722922330793634,0.5527206735843332,0.8177310317123052,7.071761017063416e-05
Smoking,Current,1538,803,高,0.5567845079982862,0.44757889459009226,0.6926354037109149,1.4644636303629e-07
Smoking_interaction,ordinal-var,6360,4283,interaction,0.9711196280298131,,,0.23457441689447345
Drinking,No,2483,1465,中,0.7892869982372586,0.6873830554174435,0.9062981123502586,0.000793731302277445
Drinking,No,2483,1465,高,0.6175364188198015,0.5240383777218873,0.7277162222862471,8.683739727288753e-09
Drinking,Yes,5150,2965,中,0.7951975341290859,0.718555595139627,0.880014187575987,9.340212782316115e-06
Drinking,Yes,5150,2965,高,0.5869209854725657,0.521319271361639,0.6607778804883745,0.0
Drinking_interaction,ordinal-var,6360,4283,interaction,0.912441495741258,,,0.016982473963397027
PA,No MVPA,2017,1232,中,0.7322392643368353,0.6348337139481877,0.8445902107214016,1.8757280415337974e-05
PA,No MVPA,2017,1232,高,0.6326868432849322,0.5220349035860281,0.7667928694348052,3.0517447309197365e-06
PA,MVPA>=2/wk,5868,3343,中,0.8563837417607687,0.7714249991936409,0.9506991786872087,0.0036322913699970982
PA,MVPA>=2/wk,5868,3343,高,0.6265060209624305,0.5556746063891134,0.7063662614579166,2.19824158875781e-14
PA_interaction,ordinal-var,6360,4283,interaction,0.9685801343756933,,,0.45468816604873785
BMI,Normal<25,3482,1767,中,0.911896691656485,0.7688231663994031,1.08159536886542,0.2895117087337511
BMI,Normal<25,3482,1767,高,0.7783777783237332,0.6351167244079937,0.9539537261484295,0.015767910191172296
BMI,Overweight25-<30,3059,1847,中,0.9793119384228374,0.8487634823249632,1.1299400748373696,0.7745783970251929
BMI,Overweight25-<30,3059,1847,高,0.8870772525745534,0.7304883110980147,1.0772329140385566,0.22657798988326516
BMI,Obese>=30,1344,961,中,0.78801127902995,0.6726571201620829,0.9231475550705409,0.0031751525558785243
BMI,Obese>=30,1344,961,高,0.575586522843598,0.4092013101596203,0.8096255731682559,0.0015077310891635776
BMI_interaction,ordinal-var,6360,4283,interaction,0.9842855453193644,,,0.5531134225516292
