analysis,cohort,term,n,events,HR,lo,hi,p
SEN-1,CHARLS,mid,1698,1118,0.7385031250608077,0.6220011505783078,0.8768261364428402,0.0005388896471230087
SEN-1,CHARLS,high,1698,1118,0.7408939047243646,0.6122962459582978,0.896500316115121,0.0020473407048104963
SEN-1,ELSA,mid,2610,1653,0.8151065103730673,0.7090823171236826,0.9369837707244227,0.004033631266664894
SEN-1,ELSA,high,2610,1653,0.5847936028920077,0.49430435279141877,0.6918481620729764,3.972118189921048e-10
SEN-1,HRS,mid,2252,1659,0.7895281428375739,0.6910288201889846,0.9020675695726724,0.0005090080931520191
SEN-1,HRS,high,2252,1659,0.5029277120395071,0.42783856393690245,0.5911956164255366,0.0
SEN-2,CHARLS,mid,1451,920,0.7552364489625497,0.6229359699381942,0.9156351878318306,0.004276772812606744
SEN-2,CHARLS,high,1451,920,0.7360194876409154,0.5937210827652724,0.9124228563083828,0.005172050610929846
SEN-2,ELSA,mid,2159,1340,0.7920807152223298,0.6776213652695515,0.9258737867238689,0.0034203848490328426
SEN-2,ELSA,high,2159,1340,0.5698830290122169,0.4739532917161361,0.6852292671714391,2.2382478093163627e-09
SEN-2,HRS,mid,1669,1185,0.7881954143880646,0.6696516442477614,0.9277241631508913,0.004207709100280788
SEN-2,HRS,high,1669,1185,0.5028665253029688,0.4149105124010247,0.6094681496666192,2.418287792238516e-12
SEN-3,CHARLS,mid,1698,1118,0.7385031250608077,0.6220011505783078,0.8768261364428402,0.0005388896471230087
SEN-3,CHARLS,high,1698,1118,0.7408939047243646,0.6122962459582978,0.896500316115121,0.0020473407048104963
SEN-3,ELSA,mid,2610,1653,0.8151065103730673,0.7090823171236826,0.9369837707244227,0.004033631266664894
SEN-3,ELSA,high,2610,1653,0.5847936028920077,0.49430435279141877,0.6918481620729764,3.972118189921048e-10
SEN-3,HRS,mid,2252,1659,0.7895281428375739,0.6910288201889846,0.9020675695726724,0.0005090080931520191
SEN-3,HRS,high,2252,1659,0.5029277120395071,0.42783856393690245,0.5911956164255366,0.0
