analysis,cohort,term,HR,lo,hi,p
主分析M3,CHARLS,mid,0.7385031250608077,0.6220031128224894,0.8768233703039754,0.0005388896471231
主分析M3,CHARLS,high,0.7408939047243646,0.6122983908829234,0.8964971756110245,0.0020473407048104
主分析M3,ELSA,mid,0.8151065103730673,0.7090841327574715,0.9369813715459402,0.0040336312666649
主分析M3,ELSA,high,0.5847936028920077,0.4943058797076116,0.691846024946543,3.9721171362186494e-10
主分析M3,HRS,mid,0.7895281428375739,0.6910305122252746,0.9020653607974638,0.0005090080931519
主分析M3,HRS,high,0.5029277120395071,0.4278398351690105,0.5911938598176008,8.016914141777957e-17
SEN-1,CHARLS,mid,0.7385031250608077,0.6220011505783078,0.8768261364428402,0.000538889647123
SEN-1,CHARLS,high,0.7408939047243646,0.6122962459582978,0.896500316115121,0.0020473407048104
SEN-1,ELSA,mid,0.8151065103730673,0.7090823171236826,0.9369837707244228,0.0040336312666648
SEN-1,ELSA,high,0.5847936028920077,0.4943043527914187,0.6918481620729764,3.972118189921048e-10
SEN-1,HRS,mid,0.7895281428375739,0.6910288201889846,0.9020675695726724,0.000509008093152
SEN-1,HRS,high,0.5029277120395071,0.4278385639369024,0.5911956164255366,0.0
SEN-2,CHARLS,mid,0.7552364489625497,0.6229359699381942,0.9156351878318306,0.0042767728126067
SEN-2,CHARLS,high,0.7360194876409154,0.5937210827652724,0.9124228563083828,0.0051720506109298
SEN-2,ELSA,mid,0.7920807152223298,0.6776213652695515,0.9258737867238688,0.0034203848490328
SEN-2,ELSA,high,0.5698830290122169,0.4739532917161361,0.6852292671714391,2.2382478093163627e-09
SEN-2,HRS,mid,0.7881954143880646,0.6696516442477614,0.9277241631508912,0.0042077091002807
SEN-2,HRS,high,0.5028665253029688,0.4149105124010247,0.6094681496666192,2.418287792238516e-12
SEN-3,CHARLS,mid,0.7385031250608077,0.6220011505783078,0.8768261364428402,0.000538889647123
SEN-3,CHARLS,high,0.7408939047243646,0.6122962459582978,0.896500316115121,0.0020473407048104
SEN-3,ELSA,mid,0.8151065103730673,0.7090823171236826,0.9369837707244228,0.0040336312666648
SEN-3,ELSA,high,0.5847936028920077,0.4943043527914187,0.6918481620729764,3.972118189921048e-10
SEN-3,HRS,mid,0.7895281428375739,0.6910288201889846,0.9020675695726724,0.000509008093152
SEN-3,HRS,high,0.5029277120395071,0.4278385639369024,0.5911956164255366,0.0
SEN-4 MICE,CHARLS,mid,0.8567802044634365,0.7614676209517148,0.9640230241739406,0.0102010089711057
SEN-4 MICE,CHARLS,high,0.7916490082421533,0.6921003776134314,0.90551626978136,0.0006555249532003
SEN-4 MICE,ELSA,mid,0.8104459814572011,0.7113330042367818,0.9233687807932628,0.0015888827150909
SEN-4 MICE,ELSA,high,0.5669093136914298,0.4859997664343156,0.6612887333424765,5.053735208093714e-13
SEN-4 MICE,HRS,mid,0.7545971779237949,0.6726038721308507,0.8465858204571545,1.6041380073161804e-06
SEN-4 MICE,HRS,high,0.5083053148977943,0.4426947910809464,0.5836397860531914,0.0
