subgroup,stratum,events,n,HR,lo,hi,p,p_interaction,P-interaction display
"Age, years",<60,656,1198,0.7098979519637182,0.6295625166044277,0.800484604643213,2.246248675952245e-08,0.20104439441078936,0.201
"Age, years",60-70,596,918,0.6228604690261694,0.5414644507707347,0.7164924000518857,3.4508396140608966e-11,0.20104439441078936,
"Age, years",>=70,401,494,0.8613794443198471,0.7189963581642139,1.0319587000290573,0.10550380624747224,0.20104439441078936,
Sex,Male,828,1390,0.7468239732444354,0.6770928326818322,0.8237364510321017,5.306719952358208e-09,0.20350960447976352,0.204
Sex,Female,825,1220,0.6141831100282167,0.5354015701609308,0.7045569413077135,3.405498105735205e-12,0.20350960447976352,
Education,Below HS,455,683,0.8265031894284899,0.7068548504807605,0.9664042365569924,0.016925832245803463,0.06293852903203012,0.063
Education,High school,782,1242,0.6361526214182157,0.5686907326816455,0.711617289469379,2.6645352591003757e-15,0.06293852903203012,
Education,College+,270,486,0.7196039718104205,0.5866745141805465,0.8826527550265674,0.0015889469532190947,0.06293852903203012,
Smoking status,Never,649,1071,0.7434953957391194,0.6512055864222169,0.8488646519792977,1.169780924215047e-05,0.5103054969832002,0.510
Smoking status,Former,779,1218,0.6601035908443773,0.5899689250579535,0.7385757658385788,4.241051954068098e-13,0.5103054969832002,
Smoking status,Current,225,321,0.6818318598799529,0.546567762775186,0.8505709937718664,0.0006873430402207781,0.5103054969832002,
Drinking,No,106,155,0.7548037237102072,0.5718044680352375,0.9963697263234488,0.04706968446263837,0.26474368414137706,0.265
Drinking,Yes,1547,2455,0.6948701061540865,0.6395381103486767,0.7549893534309382,0.0,0.26474368414137706,
Physical activity,No MVPA,392,540,0.7691246427104106,0.6558245941649488,0.9019983716494067,0.0012440937701185817,0.10955105082459049,0.110
Physical activity,MVPA >=2/wk,1261,2070,0.7065967055542838,0.6402479441006873,0.7798211753752218,5.080158516079791e-12,0.10955105082459049,
"BMI, kg/m2",<25,507,880,0.7277927585988089,0.5753011374022956,0.920704419011897,0.008080324789319526,0.41158298142916516,0.412
"BMI, kg/m2",25-<30,783,1222,0.8398990738259801,0.6898784617838403,1.022543090256341,0.08222126728072476,0.41158298142916516,
"BMI, kg/m2",>=30,363,508,0.7507678730010171,0.6050109592953564,0.9316399818392471,0.009241971643626945,0.41158298142916516,
