subgroup,stratum,events,n,HR,lo,hi,p,p_interaction,P-interaction display
"Age, years",<60,575,869,0.6919466256090876,0.613287057633312,0.780694988965631,2.2175359326581656e-09,0.1492947962343356,0.149
"Age, years",60-70,568,772,0.6768013602809982,0.5931512582488118,0.7722483513405364,6.64492638691172e-09,0.1492947962343356,
"Age, years",>=70,516,611,0.8043555660663534,0.694829761305667,0.9311458902482205,0.003553977986942236,0.1492947962343356,
Sex,Male,845,1177,0.7811107628933731,0.7121050130068091,0.8568034387675815,1.6496817645261785e-07,0.00625623345766102,0.006
Sex,Female,814,1075,0.5943571336771997,0.5226327372901676,0.675924750111559,2.220446049250313e-15,0.00625623345766102,
Education,Below HS,238,284,0.9003917616119678,0.7451696916655326,1.0879472601290199,0.2770983150626489,0.0007116969600047263,<0.001
Education,High school,942,1242,0.6554630872998068,0.5912914062287932,0.726599193370237,8.881784197001252e-16,0.0007116969600047263,
Education,College+,478,725,0.7134399759280472,0.6231854838421164,0.816765814431529,9.927560851163975e-07,0.0007116969600047263,
Smoking status,Never,721,1007,0.7094511475477695,0.6309550007329809,0.7977128799552087,9.591920369089735e-09,0.7302665188698501,0.730
Smoking status,Former,720,954,0.695654126406034,0.6239237094101071,0.7756311489481328,6.31379393212228e-11,0.7302665188698501,
Smoking status,Current,218,291,0.7589040052143892,0.6171741316660317,0.9331811875778592,0.008904907380544058,0.7302665188698501,
Drinking,No,655,839,0.7185120436738841,0.637047404281714,0.8103942554895367,7.27786038101641e-08,0.13539316301639293,0.135
Drinking,Yes,1004,1413,0.7140635547565884,0.6501951614757757,0.7842057130574512,1.856959030988037e-12,0.13539316301639293,
Physical activity,No MVPA,440,554,0.7771795278056722,0.6671834286968712,0.905310282690899,0.0012052282795687042,0.6778146763258694,0.678
Physical activity,MVPA >=2/wk,1219,1698,0.7140023560898308,0.6517655044798244,0.7821821820851067,4.4986236957811343e-13,0.6778146763258694,
"BMI, kg/m2",<25,444,663,0.7978733925734066,0.6223618637092282,1.0228807189156797,0.07482844448509751,0.11126008599888926,0.111
"BMI, kg/m2",25-<30,697,961,0.8094172759504217,0.6642759151611973,0.9862713846068268,0.03598418123041425,0.11126008599888926,
"BMI, kg/m2",>=30,518,628,0.7263610603315525,0.6116095781910452,0.8626424581617219,0.00026824683274928596,0.11126008599888926,
