"sample","n","k","loglik","npar","AIC","BIC","SABIC","entropy","sizes","conv"
"HRS_ge2",3873,1,-23610.8674572385,4,47229.7349144769,47254.782053195,47242.0719029227,NA,"3873",1
"HRS_ge2",3873,2,-20749.2623270924,8,41514.5246541848,41564.6189316209,41539.1986310763,0.829,"2216/1657",1
"HRS_ge2",3873,3,-19169.0313117961,12,38362.0626235922,38437.2040397464,38399.0735889295,0.855,"1923/855/1095",1
"HRS_ge2",3873,4,-18127.4623246584,16,36286.9246493167,36387.113204189,36336.2726030998,0.874,"1520/702/1189/462",1
"HRS_ge2",3873,5,-17668.0447792539,20,35376.0895585077,35501.325252098,35437.7745007365,0.856,"880/1263/990/417/323",1
"HRS_ge2",3873,6,-17386.4296963131,24,34820.8593926263,34971.1422249346,34894.8813233008,0.854,"480/253/1218/211/768/943",1
"HRS_ge2",3873,7,-17191.8378881357,28,34439.6757762714,34615.0057472978,34526.0346953917,0.834,"834/125/836/961/532/402/183",1
"HRS_ge3",2786,1,-19004.0249017251,4,38016.0498034503,38039.7792520676,38027.0699072164,NA,"2786",1
"HRS_ge3",2786,2,-16482.3364859647,8,32980.6729719294,33028.1318691641,33002.7131794616,0.855,"1573/1213",1
"HRS_ge3",2786,3,-15129.2750729707,12,30282.5501459413,30353.7384917934,30315.6104572397,0.872,"613/1366/807",1
"HRS_ge3",2786,4,-14210.4185762297,16,28452.8371524593,28547.7549469288,28496.9175675238,0.893,"473/1099/864/350",1
"HRS_ge3",2786,5,-13823.54134931,20,27687.0826986199,27805.7299417067,27742.1832174506,0.871,"716/634/257/867/312",1
"HRS_ge3",2786,6,-13589.5725907632,24,27227.1451815264,27369.5218732306,27293.2658041232,0.869,"140/319/586/232/829/680",1
"HRS_ge3",2786,7,-13420.5086401471,28,26897.0172802943,27063.1234206158,26974.1580066572,0.858,"345/609/624/688/127/294/99",1
"ELSA_ge2",2510,1,-13803.4470312796,4,27614.8940625593,27638.2062146878,27625.4971853482,NA,"2510",1
"ELSA_ge2",2510,2,-12180.280845605,8,24376.5616912099,24423.1859954669,24397.7679367878,0.821,"1016/1494",1
"ELSA_ge2",2510,3,-11117.8247154263,12,22259.6494308525,22329.585887238,22291.4587992194,0.878,"1336/524/650",1
"ELSA_ge2",2510,4,-10521.6615175087,16,21075.3230350175,21168.5716435315,21117.7355261733,0.872,"383/990/384/753",1
"ELSA_ge2",2510,5,-10163.2257430745,20,20366.451486149,20483.0122467915,20419.4671000938,0.866,"512/828/235/680/255",1
"ELSA_ge2",2510,6,-9892.34945239297,24,19832.6989047859,19972.571817557,19896.3176415197,0.873,"645/184/745/437/361/138",1
"ELSA_ge2",2510,7,-9755.27068953136,28,19566.5413790627,19729.7264439623,19640.7632385855,0.865,"603/93/134/398/339/689/254",1
"ELSA_ge3",1704,1,-10374.0117882618,4,20756.0235765236,20777.7865113531,20765.0789881144,NA,"1704",1
"ELSA_ge3",1704,2,-8969.67575286545,8,17955.3515057309,17998.87737539,17973.4623289125,0.86,"1058/646",1
"ELSA_ge3",1704,3,-8133.23893075268,12,16290.4778615054,16355.766665994,16317.6440962778,0.894,"463/894/347",1
"ELSA_ge3",1704,4,-7639.19874312525,16,15310.3974862505,15397.4492255687,15346.6191326138,0.894,"499/256/259/690",1
"ELSA_ge3",1704,5,-7337.52667934751,20,14715.053358695,14823.8680328428,14760.3304166491,0.882,"497/176/522/329/180",1
"ELSA_ge3",1704,6,-7135.13253513119,24,14318.2650702624,14448.8426792397,14372.5975398073,0.884,"149/98/230/309/495/423",1
"ELSA_ge3",1704,7,-7006.56100134842,28,14069.1220026968,14221.4625465037,14132.5098838325,0.884,"95/66/210/275/476/175/407",1
