file,k,converged,n_warn,nfree,loglik,AIC,BIC,SaBIC,entropy,vlmr_p,lmr_p,blrt_p,sizes
form_hrs_lin_k1,1,1,0,11.0,-10020.806,20063.612,20126.185,20091.237,,,,,
form_hrs_quad_k1,1,1,0,14.0,-10014.684,20057.369,20137.007,20092.527,,,,,
gmm_elsa_lin_k3,3,1,2,13.0,-9408.132,18842.264,18918.029,18876.724,0.878,0.0,0.0,0.0,75/2/2433
gmm_elsa_lin_k4,4,1,1,16.0,-9400.88,18833.76,18927.009,18876.173,0.853,0.3001,0.313,0.01,2/90/17/2401
gmm_elsa_lin_k5,5,1,7,19.0,-9386.235,18810.47,18921.203,18860.835,0.744,0.7509,0.755,0.0,2/96/638/38/1736
gmm_hrs_lin_k3,3,1,1,14.0,-9966.526,19961.053,20040.691,19996.211,0.899,0.0029,0.0036,0.0,56/15/2112
gmm_hrs_lin_k4,4,1,1,17.0,-9955.805,19945.611,20042.315,19988.303,0.656,0.011,0.0131,0.0,50/17/614/1502
gmm_hrs_lin_k5,5,1,1,20.0,-9951.018,19942.036,20055.805,19992.262,0.668,0.2591,0.268,0.09,13/602/68/19/1481
lcga_elsa_lin_k1,1,1,1,5.0,-12184.276,24378.551,24407.691,24391.805,,,,,
lcga_elsa_lin_k2,2,1,2,8.0,-10818.68,21653.361,21699.985,21674.567,0.798,0.0,0.0,0.0,1500/1010
lcga_elsa_lin_k3,3,1,4,11.0,-10115.483,20252.966,20317.074,20282.124,0.834,0.0,0.0,0.0,468/1369/673
lcga_elsa_lin_k4,4,1,6,14.0,-9781.095,19590.189,19671.782,19627.3,0.819,0.0005,0.0007,0.0,448/257/801/1004
lcga_elsa_lin_k5,5,1,7,17.0,-9644.361,19322.723,19421.799,19367.786,0.805,0.0072,0.0084,0.0,441/118/635/374/942
lcga_elsa_lin_k6,6,1,8,20.0,-9555.359,19150.718,19267.279,19203.734,0.802,0.0003,0.0004,0.0,407/363/108/109/637/886
lcga_elsa_lin_k7,7,1,9,23.0,-9499.835,19045.67,19179.715,19106.638,0.82,0.0,0.0,0.0,406/109/368/879/111/2/635
lcga_elsa_lin_k8,8,1,10,26.0,-9462.53,18977.061,19128.59,19045.981,0.817,0.1564,0.1645,0.0,106/604/142/393/2/418/828/17
lcga_hrs_lin_k1,1,1,1,6.0,-12613.698,25239.396,25273.527,25254.464,,,,,
lcga_hrs_lin_k2,2,1,2,9.0,-11158.871,22335.741,22386.937,22358.343,0.794,0.0,0.0,0.0,1228/955
lcga_hrs_lin_k3,3,1,4,12.0,-10522.321,21068.643,21136.904,21098.779,0.817,0.0,0.0,0.0,502/580/1101
lcga_hrs_lin_k4,4,1,6,15.0,-10261.685,20553.369,20638.696,20591.039,0.799,0.0,0.0,0.0,301/322/822/738
lcga_hrs_lin_k5,5,1,7,18.0,-10172.454,20380.908,20483.3,20426.112,0.763,0.1272,0.135,0.0,405/188/217/651/722
lcga_hrs_lin_k6,6,1,8,21.0,-10125.07,20292.139,20411.597,20344.877,0.758,0.3109,0.3204,0.0,102/351/93/671/619/347
