dataset,model,n,repeats,auc,auc_sd,acc,sens,ppv,brier
CHARLS_noecrf,RF,7918,200,0.6038676720273733,0.0098731651211436,0.5871506734006734,0.2751499032882012,0.5522354172455066,0.2378949387827063
CHARLS_noecrf,XGBoost,7918,200,0.5969078834529139,0.0092916549771585,0.5843792087542087,0.321600580270793,0.5379552701193123,0.2400640417635441
CHARLS_noecrf,SVM,7918,200,0.5946098630180423,0.0097692852893206,0.5846170033670033,0.2979110251450677,0.5421685323789283,0.2471283440083422
CHARLS_noecrf,KNN,7918,200,0.5794706398256594,0.0099410240716041,0.5760585016835017,0.3385396518375242,0.5201033464302823,0.2447362674612934
CHARLS_noecrf,MLP,7918,200,0.6053172067729967,0.0111754098362858,0.5871948653198653,0.3416441005802707,0.5409366852651479,0.2383613972208559
CHARLS_ecrf,RF,2458,200,0.6015383277067046,0.0173174804267402,0.579810298102981,0.3883779761904762,0.5565842868043133,0.2401817181021665
CHARLS_ecrf,XGBoost,2458,200,0.5832395685264156,0.0167044842679156,0.5737127371273713,0.4063690476190476,0.5431106689251072,0.2469396056234836
CHARLS_ecrf,SVM,2458,200,0.5979617167140487,0.0175700825218523,0.58,0.4519791666666666,0.5480931803377088,0.2519491945286933
CHARLS_ecrf,KNN,2458,200,0.5911997860400379,0.0173635403646339,0.5809078590785909,0.4156845238095238,0.5534878703512304,0.2446146107402801
CHARLS_ecrf,MLP,2458,200,0.5967546197583511,0.0176587230110324,0.5761382113821139,0.4283779761904762,0.5451007562042179,0.2419749034338517
ELSA_noecrf,RF,4008,200,0.6244399867780952,0.0126368958168044,0.592431421446384,0.7265477996965098,0.6069590872323137,0.2363107239841432
ELSA_noecrf,XGBoost,4008,200,0.6144462351044363,0.0126120907036437,0.588067331670823,0.6798406676783005,0.6116193274462631,0.2403340086340904
ELSA_noecrf,SVM,4008,200,0.6028938956083192,0.0127484291753323,0.5829592684954281,0.7168968133535659,0.5998733244184352,0.2442732762430313
ELSA_noecrf,KNN,4008,200,0.5816297392439524,0.0140100809481367,0.5643682460515379,0.6597192716236723,0.5918835177925635,0.2448954400332847
ELSA_noecrf,MLP,4008,200,0.6051854762675176,0.0173577498193654,0.5804156275976725,0.7138694992412746,0.5984953907489199,0.2399323360230007
ELSA_ecrf,RF,3093,200,0.6180240829680785,0.0153913806003192,0.6036691810344827,0.7922541743970315,0.6254028377275612,0.2340061548625341
ELSA_ecrf,XGBoost,3093,200,0.5996068245012424,0.0149576930953409,0.5903556034482759,0.7542764378478666,0.6214420909522292,0.2406270815432071
ELSA_ecrf,SVM,3093,200,0.5961969704918658,0.0165785760441384,0.5950646551724138,0.8120779220779221,0.6146340910312986,0.2432526206346371
ELSA_ecrf,KNN,3093,200,0.579973291490001,0.0159417792457039,0.5757219827586206,0.7816048237476808,0.6041824002375719,0.2415403932236535
ELSA_ecrf,MLP,3093,200,0.6101828579059574,0.0229344801685676,0.5982435344827586,0.7951669758812616,0.6203370130341966,0.2352927984416173
HRS_noecrf,RF,5770,200,0.6219701536689649,0.0118929364983207,0.6965482380127094,0.9927136929460582,0.6984382604435533,0.2035235361376142
HRS_noecrf,XGBoost,5770,200,0.6145464320085827,0.011697078295814,0.6943240901213171,0.9672821576763484,0.7041638033759514,0.2055052601546049
HRS_noecrf,SVM,5770,200,0.5649575201552467,0.0110339426554809,0.6953061813980358,0.9943775933609958,0.6971026155538869,0.2095614086985145
HRS_noecrf,KNN,5770,200,0.5887798068882824,0.0120403752881425,0.6898006932409012,0.94750622406639,0.7067767106002631,0.2096381375072062
HRS_noecrf,MLP,5770,200,0.6148769228341985,0.0165749288374065,0.6958261120739456,0.9754232365145228,0.7029467739375422,0.204998320991091
HRS_ecrf,RF,2334,200,0.6539815913901913,0.0193085843648457,0.7108131241084165,0.9758534136546184,0.718206448883047,0.1938524884880723
HRS_ecrf,XGBoost,2334,200,0.6335868350248284,0.0188394466595474,0.7009129814550641,0.9227710843373496,0.728592604234681,0.2002945686876774
HRS_ecrf,SVM,2334,200,0.6153229667438225,0.0166556796320336,0.7095435092724679,0.9861044176706828,0.7140716825297182,0.2009759441898961
HRS_ecrf,KNN,2334,200,0.6323155924189368,0.0192650024338207,0.708716119828816,0.9470983935742971,0.7262129863996214,0.197577965772102
HRS_ecrf,MLP,2334,200,0.6359039112113478,0.0217322500607576,0.7096647646219685,0.9732429718875504,0.7183353517175662,0.1981467821961867
ALL_noecrf,RF,17696,200,0.6708994933218149,0.0064272915943199,0.6256187605952157,0.6902622498274673,0.6473314679283153,0.2266411457532309
ALL_noecrf,XGBoost,17696,200,0.6687054438207215,0.0062766731256084,0.6246402335656434,0.6862267080745343,0.6473519659049325,0.2269417928159237
ALL_noecrf,SVM,17696,200,0.660822456111124,0.0062103501345378,0.6229158033527972,0.6899792960662525,0.6444345713362202,0.231792743263391
ALL_noecrf,KNN,17696,200,0.6435313867971705,0.0063378409669285,0.6104012055000942,0.6780348516218082,0.6338210069154634,0.234271999778908
ALL_noecrf,MLP,17696,200,0.6665943156066098,0.006747917169392,0.6244622339423621,0.6969651483781918,0.6444373494577209,0.227717892925749
ALL_ecrf,RF,7885,200,0.6670938521581148,0.009529865740288175,0.6279078613693998,0.7815477057538237,0.64901304274193,0.22382256319392504
ALL_ecrf,XGBoost,7885,200,0.6594890086395006,0.009939082997680745,0.6250232459847844,0.7571303714493809,0.6524996077721228,0.22606235317885875
ALL_ecrf,SVM,7885,200,0.6547299010040422,0.009735180093985505,0.6269103972950127,0.7950582665695558,0.6448823106111177,0.22973989655887742
ALL_ecrf,KNN,7885,200,0.643779684301399,0.009734764419526639,0.6173795435333898,0.7574034959941733,0.6450955028582355,0.2301372680789154
ALL_ecrf,MLP,7885,200,0.659050421413111,0.01112747236170063,0.6291779374471682,0.7618281136198106,0.6553095519851933,0.22595170226205433
