dataset,feature,importance
CHARLS_compsex,age,0.013612005523094
CHARLS_compsex,bmi,-0.0160440262087533
CHARLS_compsex,waist,0.0024681110499355
CHARLS_compsex,rhr,-0.0015662122701473
CHARLS_compsex,mvpa,-0.0018211941528997
CHARLS_compsex,smoke_now,-0.0085747332858662
CHARLS_compsex,sex,0.0181544765600002
ELSA_compsex,age,0.0442554449700972
ELSA_compsex,bmi,0.0083123382129786
ELSA_compsex,waist,0.0113535994822815
ELSA_compsex,rhr,-0.0047241252343122
ELSA_compsex,mvpa,0.0035279054717486
ELSA_compsex,smoke_now,0.0059204007855038
ELSA_compsex,sex,0.0098618673569579
HRS_compsex,age,0.0341971191013363
HRS_compsex,bmi,0.0070891563984033
HRS_compsex,waist,5.215909628768492e-05
HRS_compsex,rhr,-0.0028721581496615
HRS_compsex,mvpa,0.0002631936008078
HRS_compsex,smoke_now,-0.0062315762901724
HRS_compsex,sex,0.0022004322925705
ALL_compsex,age,0.0572166333337054
ALL_compsex,bmi,0.0030788893440147
ALL_compsex,waist,0.012405463342473
ALL_compsex,rhr,0.0016527939147093
ALL_compsex,mvpa,0.000432681587353
ALL_compsex,smoke_now,-0.0004216784183603
ALL_compsex,sex,0.0231915716412497
ALL_comp_M,age,0.0691285710804026
ALL_comp_M,bmi,0.006132904389364114
ALL_comp_M,waist,0.029506382978723367
ALL_comp_M,rhr,0.005259886427335414
ALL_comp_M,mvpa,-0.0009010845458312568
ALL_comp_M,smoke_now,-4.279690965383023e-06
ALL_comp_F,age,0.049165197683203196
ALL_comp_F,bmi,0.008037544173278226
ALL_comp_F,waist,0.010420189229053467
ALL_comp_F,rhr,-0.0010979463749547012
ALL_comp_F,mvpa,-0.00012861100118720018
ALL_comp_F,smoke_now,0.004976685364496971
