dataset,model,n,repeats,auc,auc_sd,acc,sens,ppv,brier
CHARLS_compsex,RF,7918,200,0.5846038599682335,0.0093174238239843,0.5742045454545456,0.2641392649903288,0.5219614570323425,0.2409276863355004
CHARLS_compsex,XGBoost,7918,200,0.5764647063189846,0.0091206444476318,0.5724515993265994,0.291426499032882,0.5160313477929486,0.2434266220778226
CHARLS_compsex,SVM,7918,200,0.5746741796072147,0.0085932503709209,0.5776010101010101,0.244105415860735,0.5338086078925514,0.2532276499561302
CHARLS_compsex,KNN,7918,200,0.5670609323968673,0.0090625426785817,0.5685016835016835,0.3293665377176015,0.5067550949096093,0.2462939926493516
CHARLS_compsex,MLP,7918,200,0.587562114990473,0.0101141194627669,0.5774010942760943,0.2549081237911025,0.5310615955558936,0.2404675522934189
ELSA_compsex,RF,4008,200,0.6285582823797197,0.0126294765666785,0.5943308395677473,0.7054855842185128,0.6127796261906159,0.235299503004053
ELSA_compsex,XGBoost,4008,200,0.6165847108475409,0.0123543080496895,0.5905777223607648,0.684279210925645,0.6132430246707672,0.2397321504354476
ELSA_compsex,SVM,4008,200,0.6140591108408462,0.0131554379564252,0.5906317539484622,0.7487177541729895,0.6016195604398032,0.243116126639019
ELSA_compsex,KNN,4008,200,0.5928973754239936,0.0133529507308472,0.5734372402327514,0.6811153262518969,0.5970282937927248,0.2429856420343522
ELSA_compsex,MLP,4008,200,0.6159533718646791,0.0142566732316305,0.5880133000831256,0.7281031866464339,0.603411057358992,0.2379165150783957
HRS_compsex,RF,5770,200,0.6112325623589921,0.0117481318702279,0.6968284228769498,0.9892365145228216,0.6996110749857047,0.2049369261292793
HRS_compsex,XGBoost,5770,200,0.6037243937648896,0.0118733533700014,0.6937175043327557,0.9749004149377593,0.7014799065566203,0.2070454141497612
HRS_compsex,SVM,5770,200,0.5398647981319913,0.0122616242706454,0.6964067013287117,0.9938215767634856,0.6980294924465688,0.2114870946558399
HRS_compsex,KNN,5770,200,0.5792841968666678,0.0115099199258219,0.6893587521663779,0.9606058091286306,0.7024863296334423,0.2107531510540183
HRS_compsex,MLP,5770,200,0.5931362392124071,0.0255609816156849,0.6951646447140383,0.9925892116182572,0.697504720092895,0.2083591566599195
ALL_compsex,RF,17696,200,0.6442956032550374,0.0066223657547183,0.6102655867394989,0.7052570738440304,0.6272035882053807,0.2325103464438353
ALL_compsex,XGBoost,17696,200,0.6416660805847595,0.0064596968503538,0.609401958937653,0.701376811594203,0.6272134810804996,0.2333631566166877
ALL_compsex,SVM,17696,200,0.6377824385243731,0.0069592199531829,0.6099190054624224,0.7206918564527259,0.6234682259070218,0.238590271385803
ALL_compsex,KNN,17696,200,0.6219724461355662,0.0063855514788546,0.5968139009229609,0.6934351276742581,0.6161520318698492,0.23896988386203
ALL_compsex,MLP,17696,200,0.6439377569564846,0.0065899175907878,0.6099839894518742,0.704679089026915,0.6271900523684967,0.232713033976417
ALL_comp_M,RF,9547,200,0.6450413882186641,0.008495222320407428,0.6083368237347295,0.5903676975945016,0.6202661364898896,0.2343149214483046
ALL_comp_M,XGBoost,9547,200,0.6400924837318125,0.008601820718775072,0.6054694589877836,0.5924398625429552,0.6162143040527045,0.2360279444605112
ALL_comp_M,SVM,9547,200,0.6422217884038898,0.008909079315571585,0.6099109947643978,0.5930446735395187,0.6215684711773107,0.23928078027953015
ALL_comp_M,KNN,9547,200,0.6267036825814628,0.008121328441542936,0.595130890052356,0.6056391752577318,0.6006277790382684,0.24031273052176236
ALL_comp_M,MLP,9547,200,0.6452423874631376,0.010216120006910606,0.6092198952879581,0.5846048109965635,0.6228865198375373,0.23427031828074385
ALL_comp_F,RF,8149,200,0.6242147343653577,0.009031906305041108,0.6110408997955011,0.8257652354570637,0.6303294077931912,0.23108488169404212
ALL_comp_F,XGBoost,8149,200,0.6205518875169151,0.008948494102727958,0.6073701431492843,0.8015927977839337,0.6322097750257271,0.2324560071527958
ALL_comp_F,SVM,8149,200,0.6110491620567798,0.0096899630670547,0.6128220858895705,0.8586011080332409,0.6254636066416971,0.23871509603948543
ALL_comp_F,KNN,8149,200,0.5987654174080767,0.009461247613248415,0.5998159509202454,0.7829605263157895,0.6296544153224288,0.23730835721992047
ALL_comp_F,MLP,8149,200,0.6233566952438143,0.0140245939842854,0.6116605316973415,0.8352423822714681,0.629143499036958,0.23121209375258858
