cohort,sex,n,component,mean_contribution,share_pct
CHARLS,M,772,age(+age^2),-0.3512398963730571,65.1920698886033
CHARLS,M,772,BMI,-0.06293289437096351,11.68069370959607
CHARLS,M,772,waist,-0.033529754985058245,6.2233082087349585
CHARLS,M,772,resting HR,-0.07090220207253888,13.159841352018441
CHARLS,M,772,MVPA,-0.03784274611398964,7.023823247059602
CHARLS,M,772,current smoking,0.017670466321243524,-3.2797364060123453
CHARLS,M,772,TOTAL ΔeCRF,-0.5387770275943636,100.0
CHARLS,F,840,age(+age^2),-0.24039023809523805,66.80917326642687
CHARLS,F,840,BMI,-0.0568054037023726,15.787338489666881
CHARLS,F,840,waist,-0.013914501137960528,3.867113426933761
CHARLS,F,840,resting HR,-0.05191333333333334,14.427735955444126
CHARLS,F,840,MVPA,0.003563690476190475,-0.9904196458984291
CHARLS,F,840,current smoking,-0.00035642857142857145,0.09905850742675455
CHARLS,F,840,TOTAL ΔeCRF,-0.35981621436414274,100.0
ELSA,M,1344,age(+age^2),-0.954017038690476,92.57460535998467
ELSA,M,1344,BMI,-0.06193632532315594,6.010092735984199
ELSA,M,1344,waist,-0.03857697344791321,3.74337978053853
ELSA,M,1344,resting HR,0.039029017857142856,-3.787244649919756
ELSA,M,1344,MVPA,-0.027407589285714285,2.6595403007437644
ELSA,M,1344,current smoking,0.012370312500000001,-1.200373527331444
ELSA,M,1344,TOTAL ΔeCRF,-1.030538596390117,100.0
ELSA,F,1166,age(+age^2),-0.7452430531732418,87.96146195648967
ELSA,F,1166,BMI,-0.05767553113705095,6.807475784350188
ELSA,F,1166,waist,-0.01395137270768756,1.646688465518366
ELSA,F,1166,resting HR,0.003262264150943396,-0.3850468954838033
ELSA,F,1166,MVPA,-0.04261758147512864,5.030177410765733
ELSA,F,1166,current smoking,0.00898713550600343,-1.0607567216401426
ELSA,F,1166,TOTAL ΔeCRF,-0.847238138836162,100.0
HRS,M,1131,age(+age^2),-1.4126731211317418,93.40959698261312
HRS,M,1131,BMI,-0.048593969938107905,3.2131588545178884
HRS,M,1131,waist,-0.07747337992926613,5.122740064790077
HRS,M,1131,resting HR,0.08805172413793104,-5.8222075173053
HRS,M,1131,MVPA,-0.07861538461538461,5.198252365468044
HRS,M,1131,current smoking,0.016961538461538462,-1.1215407500838588
HRS,M,1131,TOTAL ΔeCRF,-1.5123425930150312,100.0
HRS,F,1052,age(+age^2),-1.1026222433460076,92.48133638675479
HRS,F,1052,BMI,-0.02576595057034222,2.161093299541356
HRS,F,1052,waist,-0.02545588241444867,2.1350866434983997
HRS,F,1052,resting HR,0.02759410646387833,-2.3144280442173586
HRS,F,1052,MVPA,-0.0762602661596958,6.396253449645972
HRS,F,1052,current smoking,0.010245627376425854,-0.8593417352231345
HRS,F,1052,TOTAL ΔeCRF,-1.1922646086501898,100.0
