cohort,sex,n,component,contribution,share_pct
CHARLS,M,1334,age(+age^2),0.6968038481831579,34.88070518641128
CHARLS,M,1334,BMI,0.6646537056199557,33.27132882120875
CHARLS,M,1334,waist,0.28571418976488666,14.302321157881716
CHARLS,M,1334,resting HR,0.2093607504070709,10.48020993511411
CHARLS,M,1334,MVPA,0.15070511124578762,7.544017687554284
CHARLS,M,1334,current smoking,-0.009560538604050503,-0.47858278817015576
CHARLS,F,1124,age(+age^2),0.545952992984336,47.58708005875049
CHARLS,F,1124,BMI,0.26952839057644323,23.492991640830457
CHARLS,F,1124,waist,0.04639636792358848,4.04406185731524
CHARLS,F,1124,resting HR,0.13757140710245955,11.991181745875194
CHARLS,F,1124,MVPA,0.13830608468196728,12.055218689060169
CHARLS,F,1124,current smoking,0.009516226866184096,0.8294660081684497
ELSA,M,1658,age(+age^2),1.2051052915389695,42.83086188353843
ELSA,M,1658,BMI,0.902852680343614,32.08844797585832
ELSA,M,1658,waist,0.37806596415562105,13.436909793116252
ELSA,M,1658,resting HR,0.22777907232752662,8.09553659362164
ELSA,M,1658,MVPA,0.1027125152858863,3.650523806349386
ELSA,M,1658,current smoking,-0.002877790150535682,-0.10228005248404076
ELSA,F,1435,age(+age^2),0.8663645904934614,51.341147144402335
ELSA,F,1435,BMI,0.4592560258993481,27.215714332486716
ELSA,F,1435,waist,0.06359018920324372,3.7683826147194788
ELSA,F,1435,resting HR,0.17218026667150388,10.203478424145993
ELSA,F,1435,MVPA,0.12044105949061974,7.1373902227624475
ELSA,F,1435,current smoking,0.005634235241221272,0.3338872614830184
HRS,M,1229,age(+age^2),1.4944359890660717,46.79589255697988
HRS,M,1229,BMI,1.0129967720509312,31.720387124166745
HRS,M,1229,waist,0.43184756546726294,13.522621525749342
HRS,M,1229,resting HR,0.1640045427542382,5.1355421160461825
HRS,M,1229,MVPA,0.11347144601755302,3.5531783461939828
HRS,M,1229,current smoking,-0.02323674043522855,-0.7276216691361479
HRS,F,1105,age(+age^2),1.1266337143366636,54.3356511735076
HRS,F,1105,BMI,0.5837363351630764,28.152622703464274
HRS,F,1105,waist,0.09177396035873686,4.426103917722395
HRS,F,1105,resting HR,0.1622876701160661,7.826861668505708
HRS,F,1105,MVPA,0.11361665288501181,5.47954028013113
HRS,F,1105,current smoking,-0.004577802914059894,-0.22077974333111117
