file,k,converged,nfree,loglik,AIC,BIC,SaBIC,entropy,vlmr_p,lmr_p,blrt_p,sizes
form_charls_lin_k1,1,1,7.0,-7021.537,14057.075,14094.922,14072.684,,,,,
form_charls_quad_k1,1,0,,,,,,,,,,
form_elsa_lin_k1,1,1,11.0,-14670.166,29362.332,29423.781,29388.834,,,,,
form_elsa_quad_k1,1,1,14.0,-14574.348,29176.696,29254.904,29210.425,,,,,
form_hrs_lin_k1,1,1,10.0,-12148.098,24316.196,24369.823,24338.055,,,,,
form_hrs_quad_k1,1,1,13.0,-12069.367,24164.734,24234.448,24193.15,,,,,
gmm_charls_lin_k1,1,1,7.0,-7021.537,14057.075,14094.922,14072.684,,,,,
gmm_charls_lin_k2,2,1,10.0,-6760.113,13540.225,13594.292,13562.524,0.894,0.0074,0.0088,0.0,191/1456
gmm_charls_lin_k3,3,1,13.0,-6601.562,13229.124,13299.411,13258.112,0.89,0.002,0.0025,0.0,119/138/1390
gmm_charls_lin_k4,4,1,16.0,-6493.353,13018.706,13105.213,13054.384,0.886,0.0735,0.0811,0.0,219/99/73/1256
gmm_charls_lin_k5,5,1,19.0,-6417.465,12872.93,12975.657,12915.297,0.86,0.3548,0.3674,0.0,67/49/119/1194/218
gmm_elsa_quad_k1,1,1,14.0,-14574.348,29176.696,29254.904,29210.425,,,,,
gmm_elsa_quad_k2,2,1,18.0,-14123.604,28283.209,28383.762,28326.575,0.939,0.0524,0.0564,0.0,155/1816
gmm_elsa_quad_k3,3,1,22.0,-13846.321,27736.642,27859.54,27789.646,0.865,0.0105,0.0117,0.0,158/135/1678
gmm_elsa_quad_k4,4,1,26.0,-13613.236,27278.472,27423.716,27341.113,0.883,0.1766,0.185,0.0,118/130/77/1646
gmm_elsa_quad_k5,5,1,30.0,-13422.16,26904.32,27071.909,26976.597,0.893,0.0428,0.046,0.0,67/40/183/128/1553
gmm_hrs_quad_k1,1,1,13.0,-12069.367,24164.734,24234.448,24193.15,,,,,
gmm_hrs_quad_k2,2,1,17.0,-11722.566,23479.131,23570.296,23516.291,0.948,0.0001,0.0001,0.0,146/1430
gmm_hrs_quad_k3,3,1,21.0,-11514.952,23071.904,23184.52,23117.807,0.912,0.234,0.2432,0.0,126/129/1321
gmm_hrs_quad_k4,4,1,25.0,-11371.675,22793.35,22927.416,22847.996,0.923,0.0339,0.0364,0.0,61/103/112/1300
gmm_hrs_quad_k5,5,1,29.0,-11262.762,22583.523,22739.04,22646.913,0.897,0.1916,0.2001,0.0,111/101/64/58/1242
lcga_charls_lin_k1,1,1,5.0,-7088.839,14187.678,14214.711,14198.827,,,,,
lcga_charls_lin_k2,2,1,8.0,-6780.692,13577.383,13620.637,13595.222,0.894,0.0,0.0,0.0,1441/206
lcga_charls_lin_k3,3,1,11.0,-6611.692,13245.384,13304.858,13269.912,0.893,0.0001,0.0002,0.0,134/109/1404
lcga_charls_lin_k4,4,1,14.0,-6541.105,13110.21,13185.904,13141.428,0.88,0.0589,0.0652,0.0,45/132/127/1343
lcga_charls_lin_k5,5,1,17.0,-6466.933,12967.865,13059.779,13005.773,0.858,0.0806,0.0883,0.0,52/204/54/124/1213
lcga_elsa_quad_k1,1,1,11.0,-14655.949,29333.899,29395.348,29360.401,,,,,
lcga_elsa_quad_k2,2,1,15.0,-14152.734,28335.468,28419.263,28371.607,0.951,0.0001,0.0001,0.0,161/1810
lcga_elsa_quad_k3,3,1,19.0,-13865.532,27769.064,27875.204,27814.84,0.87,0.0455,0.0494,0.0,153/149/1669
lcga_elsa_quad_k4,4,1,23.0,-13636.497,27318.994,27447.478,27374.407,0.883,0.0556,0.0606,0.0,70/143/83/1675
lcga_elsa_quad_k5,5,1,27.0,-13583.47,27220.939,27371.769,27285.989,0.892,0.2962,0.306,0.0,84/19/76/122/1670
lcga_hrs_quad_k1,1,1,10.0,-12131.884,24283.769,24337.395,24305.627,,,,,
lcga_hrs_quad_k2,2,1,14.0,-11762.725,23553.449,23628.526,23584.051,0.938,0.0004,0.0004,0.0,147/1429
lcga_hrs_quad_k3,3,1,18.0,-11576.394,23188.789,23285.316,23228.134,0.894,0.0635,0.0684,0.0,112/137/1327
lcga_hrs_quad_k4,4,1,22.0,-11436.555,22917.11,23035.088,22965.199,0.88,0.4005,0.4086,0.0,83/76/127/1290
lcga_hrs_quad_k5,5,1,26.0,-11339.969,22731.939,22871.368,22788.771,0.882,0.0819,0.086,0.0,53/72/90/98/1263
