cohort,family,model,k,SABIC,entropy,VLMR_LRT_p,BLRT_p,min_class_prop
CHARLS,LCGM,LCGM2,2,13595.222,0.894,0.0,0.0,0.125
CHARLS,LCGM,LCGM3,3,13269.912,0.893,0.0001,0.0,0.066
CHARLS,LCGM,LCGM4,4,13141.428,0.88,0.0589,0.0,0.027
CHARLS,LCGM,LCGM5,5,13005.773,0.858,0.0806,0.0,0.032
CHARLS,GMM,GMM2,2,13562.524,0.894,0.0074,0.0,0.116
CHARLS,GMM,GMM3,3,13258.112,0.89,0.002,0.0,0.072
CHARLS,GMM,GMM4,4,13054.384,0.886,0.0735,0.0,0.044
CHARLS,GMM,GMM5,5,12915.297,0.86,0.3548,0.0,0.03
ELSA,LCGM,LCGM2,2,28371.607,0.951,0.0001,0.0,0.082
ELSA,LCGM,LCGM3,3,27814.84,0.87,0.0455,0.0,0.076
ELSA,LCGM,LCGM4,4,27374.407,0.883,0.0556,0.0,0.036
ELSA,LCGM,LCGM5,5,27285.989,0.892,0.2962,0.0,0.01
ELSA,GMM,GMM2,2,28326.575,0.939,0.0524,0.0,0.079
ELSA,GMM,GMM3,3,27789.646,0.865,0.0105,0.0,0.068
ELSA,GMM,GMM4,4,27341.113,0.883,0.1766,0.0,0.039
ELSA,GMM,GMM5,5,26976.597,0.893,0.0428,0.0,0.02
HRS,LCGM,LCGM2,2,23584.051,0.938,0.0004,0.0,0.093
HRS,LCGM,LCGM3,3,23228.134,0.894,0.0635,0.0,0.071
HRS,LCGM,LCGM4,4,22965.199,0.88,0.4005,0.0,0.048
HRS,LCGM,LCGM5,5,22788.771,0.882,0.0819,0.0,0.034
HRS,GMM,GMM2,2,23516.291,0.948,0.0001,0.0,0.093
HRS,GMM,GMM3,3,23117.807,0.912,0.234,0.0,0.08
HRS,GMM,GMM4,4,22847.996,0.923,0.0339,0.0,0.039
HRS,GMM,GMM5,5,22646.913,0.897,0.1916,0.0,0.037
